=== Testing mode: linear ===

Instance 1:
Nodes: 70, Edges: 280, Exec Time: 2.7499 sec,  PoA: 1.0, Equilibrium Iterations: 3, Social Optimality Iterations: 2
Nodes: 80, Edges: 320, Exec Time: 8.2833 sec,  PoA: 1.006, Equilibrium Iterations: 7, Social Optimality Iterations: 10
Nodes: 90, Edges: 360, Exec Time: 12.4497 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 100, Edges: 400, Exec Time: 28.4322 sec,  PoA: 1.007, Equilibrium Iterations: 7, Social Optimality Iterations: 10

Instance 6:
Nodes: 10, Edges: 40, Exec Time: 0.3204 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 20, Edges: 80, Exec Time: 0.7473 sec,  PoA: 1.003, Equilibrium Iterations: 6, Social Optimality Iterations: 7
Nodes: 30, Edges: 120, Exec Time: 2.0001 sec,  PoA: 1.004, Equilibrium Iterations: 7, Social Optimality Iterations: 10
Nodes: 40, Edges: 160, Exec Time: 3.5203 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 50, Edges: 200, Exec Time: 4.7691 sec,  PoA: 1.012, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 60, Edges: 240, Exec Time: 7.2269 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 70, Edges: 280, Exec Time: 11.4202 sec,  PoA: 1.013, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 80, Edges: 320, Exec Time: 17.5081 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 90, Edges: 360, Exec Time: 19.9807 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 100, Edges: 400, Exec Time: 25.4826 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 8

Instance 7:
Nodes: 10, Edges: 40, Exec Time: 0.3386 sec,  PoA: 1.003, Equilibrium Iterations: 6, Social Optimality Iterations: 6
Nodes: 20, Edges: 80, Exec Time: 0.9969 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 2.0189 sec,  PoA: 1.009, Equilibrium Iterations: 7, Social Optimality Iterations: 11
Nodes: 40, Edges: 160, Exec Time: 3.1799 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 50, Edges: 200, Exec Time: 5.5369 sec,  PoA: 1.015, Equilibrium Iterations: 7, Social Optimality Iterations: 13
Nodes: 60, Edges: 240, Exec Time: 7.8090 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 70, Edges: 280, Exec Time: 12.2022 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 80, Edges: 320, Exec Time: 16.7793 sec,  PoA: 1.016, Equilibrium Iterations: 8, Social Optimality Iterations: 8
